"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1096","X"," ","X","X"," "," ","X"," ","X"," "," ",816.471625492318,46.2995071842475,8.83465831332759e-11,2.49454968521306e-11,658,5
"1097","X","X"," ","X","X","X"," "," "," ","X","X",816.486573679089,46.3144553710184,8.76887339959945e-11,2.47597469000529e-11,1565,7
"1098","X"," "," "," ","X","X","X"," "," ","X","X",816.514593624456,46.3424753163849,8.64687829228861e-11,2.44152821276229e-11,1260,6
"1099"," "," ","X","X"," ","X"," ","X"," ","X"," ",816.553644124435,46.3815258163642,8.47968340467431e-11,2.39431914824891e-11,918,5
"1100","X","X","X"," "," ","X","X","X","X","X","X",816.573307449249,46.401189141178,8.39672251013612e-11,2.37089435172418e-11,2008,9
"1101"," "," "," "," "," ","X","X","X"," ","X"," ",816.633704347715,46.4615860396442,8.14694494099945e-11,2.30036728272331e-11,548,4
"1102","X","X","X","X","X","X"," ","X","X","X","X",816.634216127629,46.4620978195576,8.14486048631822e-11,2.29977871714618e-11,2040,10
"1103"," ","X","X","X","X","X"," ","X","X"," "," ",816.647521212511,46.4754029044404,8.0908562880328e-11,2.28453011883539e-11,1700,7
"1104"," "," "," ","X"," "," ","X","X"," ","X","X",816.658578044312,46.4864597362414,8.04625008391531e-11,2.27193513343884e-11,1000,5
"1105"," "," "," ","X","X","X"," ","X","X"," ","X",816.659987043424,46.4878687353527,8.04058350059373e-11,2.27033511981751e-11,1465,6
"1106"," "," ","X"," "," "," ","X"," "," ","X","X",816.663128216467,46.4910099083961,8.0279649803537e-11,2.26677216077866e-11,487,4
"1107"," "," "," "," ","X","X","X","X"," ","X","X",816.666863351585,46.4947450435137,8.01298620468452e-11,2.26254276120199e-11,1481,6
"1108"," "," ","X"," ","X","X","X"," "," ","X","X",816.674706058811,46.5025877507403,7.98162597972877e-11,2.25368790383037e-11,1442,6
"1109"," ","X","X","X","X"," "," ","X","X"," ","X",816.67870111008,46.5065828020096,7.96569839040824e-11,2.24919059770753e-11,1713,7
