"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1033,"-2.977*** (-3.459--2.677)",NA,"0.905*** (0.54-1.252)","0.882*** (0.544-1.204)","4.692*** (3.096-6.323)","1.039 (-0.805-2.927)","-0.236** (-0.39--0.09)",NA,"-0.096 (-0.208-0.009)","-0.08 (-0.252-0.056)","-1.766 (-6.36--0.43)",NA,"-0.107 (-1.288-0.794)","0.011 (-0.254-0.116)",612.13701156849,43.6715972351993,8
1034,"-2.97*** (-3.456--2.687)","-0.379*** (-0.611--0.159)",NA,"0.936*** (0.606-1.253)","4.959*** (3.476-6.457)","1.012 (-0.729-2.822)",NA,"-0.207* (-0.41--0.019)","-0.189* (-0.356--0.03)","-0.105 (-0.26-0.022)","-1.573 (-6.233--0.389)","0.201* (0.033-0.377)",NA,NA,612.141287780589,43.6758734472979,7
1035,"-2.824*** (-3.028--2.643)","-0.298** (-0.529--0.083)",NA,"1.003*** (0.673-1.321)","4.792*** (3.298-6.314)","1.121 (-0.616-2.903)","-0.199* (-0.354--0.052)",NA,"-0.217** (-0.379--0.063)",NA,NA,"0.213* (0.045-0.39)","-0.473 (-1.62-0.447)","0.056 (-0.166-0.155)",612.167552764311,43.7021384310199,7
1036,"-2.795*** (-2.992--2.62)","-0.373** (-0.608--0.153)","1.036*** (0.675-1.379)",NA,"4.459*** (2.99-5.959)","1.417 (-0.299-3.172)","-0.181* (-0.333--0.037)",NA,"-0.214** (-0.38--0.058)","-0.139 (-0.303--0.007)",NA,"0.178* (0.013-0.349)","-0.355 (-1.566-0.557)",NA,612.17052443377,43.7051101004787,7
1037,"-3.069*** (-3.574--2.692)",NA,NA,"0.929*** (0.598-1.246)","4.104*** (2.595-5.645)","1.592 (-0.173-3.398)","-0.231** (-0.383--0.086)","-0.267** (-0.467--0.076)",NA,"-0.056 (-0.211-0.07)","-3.408 (-8.2--0.713)","0.068 (-0.047-0.187)",NA,NA,612.190785468944,43.7253711356528,6
1038,"-2.898*** (-3.369--2.646)","-0.469*** (-0.697--0.251)","1.033*** (0.682-1.367)",NA,"4.971*** (3.57-6.378)","0.825 (-0.815-2.537)",NA,NA,"-0.088 (-0.199-0.017)","-0.123 (-0.287-0.008)","-1.071 (-5.562--0.526)",NA,"-0.092 (-1.406-0.877)",NA,612.258184309631,43.7927699763402,6
1039,"-2.999*** (-3.498--2.722)","-0.398*** (-0.633--0.174)","0.92*** (0.554-1.268)","0.813*** (0.472-1.139)","4.857*** (3.306-6.423)","1.062 (-0.763-2.962)",NA,"-0.178 (-0.384-0.012)","-0.051 (-0.167-0.059)","-0.107 (-0.279-0.03)","-1.237 (-6.007--0.683)",NA,"-0.139 (-1.462-0.859)","0.045 (-0.259-0.174)",612.300663995735,43.8352496624442,9
1040,"-3*** (-3.513--2.669)","-0.359** (-0.596--0.136)","0.987*** (0.627-1.328)",NA,"4.027*** (2.563-5.521)","1.749* (0.029-3.51)","-0.142 (-0.297-0.004)","-0.215* (-0.413--0.029)",NA,"-0.123 (-0.287-0.008)","-2.247 (-7.152--0.229)",NA,NA,"0.056 (-0.19-0.157)",612.329447509178,43.8640331758866,7
1041,"-2.899*** (-3.367--2.654)","-0.412*** (-0.637--0.198)","1.051*** (0.696-1.39)",NA,"5.378*** (3.986-6.781)","0.474 (-1.149-2.165)",NA,NA,"-0.171* (-0.33--0.021)",NA,"-0.979 (-5.423--0.461)","0.147 (-0.012-0.313)","-0.169 (-1.443-0.772)",NA,612.369068860599,43.9036545273077,6
1042,"-2.896*** (-3.118--2.702)","-0.316** (-0.557--0.092)","0.913*** (0.535-1.272)","0.869*** (0.524-1.199)","4.457*** (2.856-6.099)","1.587 (-0.308-3.526)","-0.168* (-0.328--0.017)","-0.14 (-0.346-0.035)","-0.211* (-0.383--0.049)","-0.128 (-0.301-0.01)",NA,"0.221* (0.048-0.402)","-0.436 (-1.663-0.56)","-0.01 (-0.316-0.141)",612.4090267916,43.9436124583086,10
1043,"-2.9*** (-3.398--2.627)","-0.363** (-0.594--0.144)","1.017*** (0.66-1.357)",NA,"4.429*** (2.991-5.89)","1.273 (-0.408-2.995)","-0.161* (-0.313--0.018)",NA,NA,NA,"-1.248 (-6.002--0.81)","0.024 (-0.085-0.136)","-0.126 (-1.364-0.798)",NA,612.501693271441,44.0362789381498,6
1044,"-2.844*** (-3.312--2.575)","-0.455*** (-0.671--0.249)",NA,NA,"5.023*** (3.778-6.27)","0.597 (-0.863-2.119)",NA,NA,NA,NA,"-1.531 (-6.015--0.361)",NA,NA,NA,612.503478624373,44.0380642910819,2
1045,"-2.757*** (-2.941--2.593)",NA,"1.039*** (0.678-1.381)",NA,"4.604*** (3.102-6.129)","1.199 (-0.54-2.988)","-0.237** (-0.388--0.093)","-0.19* (-0.39--0.004)","-0.212** (-0.379--0.055)","-0.097 (-0.261-0.033)",NA,"0.2* (0.036-0.37)",NA,NA,612.509371335843,44.0439570025515,6
1046,"-2.801*** (-2.997--2.627)","-0.376** (-0.61--0.159)","1.035*** (0.674-1.378)",NA,"4.497*** (3.032-5.992)","1.364 (-0.343-3.111)","-0.179* (-0.331--0.035)",NA,"-0.21* (-0.375--0.054)","-0.138 (-0.303--0.007)",NA,"0.174* (0.009-0.345)",NA,"0.025 (-0.216-0.123)",612.524822205487,44.0594078721961,7
1047,"-3.027*** (-3.518--2.69)",NA,NA,"0.976*** (0.643-1.296)","4.393*** (2.849-5.969)","1.493 (-0.306-3.336)","-0.249** (-0.402--0.104)","-0.2* (-0.404--0.009)","-0.234** (-0.404--0.073)","-0.09 (-0.247-0.037)","-2.732 (-7.423--0.467)","0.247** (0.076-0.425)",NA,NA,612.56683414933,44.1014198160389,7
1048,"-2.717*** (-2.896--2.557)","-0.453*** (-0.67--0.25)",NA,NA,"4.63*** (3.33-5.933)","1.084 (-0.448-2.677)",NA,"-0.251** (-0.44--0.073)",NA,"-0.096 (-0.242-0.023)",NA,NA,NA,NA,612.582144172668,44.1167298393769,3
1049,"-2.937*** (-3.381--2.646)",NA,NA,"0.993*** (0.673-1.299)","5.85*** (4.465-7.236)","-0.235 (-1.814-1.423)",NA,NA,"-0.105 (-0.215--0.002)","-0.035 (-0.187-0.088)","-2.167 (-6.471--0.237)",NA,NA,NA,612.591890268273,44.1264759349821,4
1050,"-2.745*** (-2.918--2.59)",NA,"1.101*** (0.753-1.433)",NA,"6.07*** (4.697-7.437)","-0.372 (-1.933-1.279)",NA,NA,"-0.241** (-0.406--0.086)","-0.066 (-0.226-0.061)",NA,"0.188* (0.026-0.357)",NA,NA,612.620411419964,44.1549970866731,4
1051,"-2.936*** (-3.428--2.656)","-0.316** (-0.552--0.094)",NA,"0.895*** (0.562-1.214)","4.234*** (2.739-5.76)","1.565 (-0.178-3.344)","-0.17* (-0.328--0.022)","-0.169 (-0.375-0.016)","-0.061 (-0.175-0.047)","-0.106 (-0.263-0.022)","-1.475 (-6.214--0.301)",NA,NA,NA,612.640338447006,44.174924113715,7
1052,"-2.938*** (-3.382--2.65)",NA,NA,"0.995*** (0.675-1.301)","5.909*** (4.546-7.275)","-0.295 (-1.854-1.34)",NA,NA,"-0.099 (-0.208-0.003)",NA,"-2.163 (-6.448--0.165)",NA,NA,"0.031 (-0.17-0.112)",612.640917967974,44.1755036346834,4
1053,"-2.969*** (-3.465--2.706)","-0.374** (-0.614--0.147)","0.921*** (0.552-1.273)","0.856*** (0.514-1.182)","4.341*** (2.777-5.948)","1.465 (-0.375-3.342)","-0.165* (-0.323--0.017)",NA,NA,"-0.098 (-0.27-0.038)","-0.972 (-5.672--0.523)","0.04 (-0.074-0.158)","-0.098 (-1.377-0.905)","0.062 (-0.187-0.178)",612.658187872618,44.1927735393265,9
1054,"-2.858*** (-3.063--2.677)",NA,"0.962*** (0.593-1.312)","0.918*** (0.583-1.237)","5.751*** (4.194-7.299)","0.175 (-1.618-2.079)",NA,"-0.223* (-0.427--0.031)","-0.22** (-0.39--0.06)","-0.067 (-0.236-0.068)",NA,"0.223* (0.053-0.4)","-0.428 (-1.556-0.403)","-0.063 (-0.379-0.099)",612.66760538522,44.2021910519295,8
1055,"-2.987*** (-3.505--2.655)","-0.354** (-0.592--0.13)","0.989*** (0.63-1.331)",NA,"4.02*** (2.554-5.515)","1.759* (0.035-3.523)","-0.143 (-0.298-0.003)","-0.223* (-0.421--0.037)",NA,"-0.124 (-0.288-0.008)","-2.093 (-7.039--0.473)",NA,"-0.137 (-1.466-0.849)",NA,612.674490188517,44.2090758552258,7
1056,"-2.983*** (-3.497--2.671)","-0.321** (-0.557--0.097)",NA,"0.909*** (0.575-1.228)","4.055*** (2.567-5.577)","1.732* (-0.018-3.52)","-0.168* (-0.324--0.02)","-0.223* (-0.425--0.032)",NA,"-0.09 (-0.247-0.036)","-1.88 (-6.794--0.525)","0.063 (-0.052-0.184)",NA,NA,612.696772257098,44.2313579238073,7
1057,"-3.046*** (-3.556--2.669)",NA,NA,"0.936*** (0.606-1.253)","4.222*** (2.732-5.736)","1.489 (-0.259-3.284)","-0.223** (-0.374--0.08)","-0.265** (-0.466--0.074)",NA,NA,"-3.155 (-7.983--0.631)","0.071 (-0.044-0.19)","-0.218 (-1.408-0.66)",NA,612.699085264706,44.2336709314147,6
1058,"-2.806*** (-2.998--2.635)","-0.428*** (-0.651--0.218)","1.048*** (0.693-1.387)",NA,"5.399*** (4.006-6.802)","0.464 (-1.161-2.158)",NA,NA,"-0.171* (-0.33--0.02)",NA,NA,"0.146 (-0.014-0.313)","-0.429 (-1.601-0.5)","0.064 (-0.165-0.166)",612.706063178148,44.2406488448572,6
1059,"-2.736*** (-2.909--2.58)",NA,"1.089*** (0.74-1.421)",NA,"6.117*** (4.758-7.474)","-0.417 (-1.965-1.213)",NA,NA,"-0.228** (-0.387--0.077)",NA,NA,"0.181* (0.02-0.347)","-0.383 (-1.428-0.343)",NA,612.707773754761,44.24235942147,4
1060,"-2.993*** (-3.478--2.695)",NA,"0.917*** (0.543-1.273)","0.925*** (0.586-1.25)","4.713*** (3.099-6.364)","1.195 (-0.686-3.123)","-0.252*** (-0.405--0.107)",NA,"-0.265** (-0.434--0.105)","-0.099 (-0.27-0.038)","-1.722 (-6.329--0.401)","0.249** (0.077-0.429)","-0.168 (-1.387-0.77)","0.017 (-0.26-0.124)",612.71417614654,44.2487618132487,9
1061,"-2.71*** (-2.885--2.555)",NA,"1.08*** (0.736-1.406)",NA,"5.742*** (4.403-7.073)","-0.237 (-1.769-1.378)",NA,NA,NA,"-0.029 (-0.189-0.096)",NA,NA,"-0.336 (-1.344-0.368)",NA,612.731193660181,44.2657793268895,3
1062,"-2.9*** (-3.347--2.657)","-0.44*** (-0.668--0.224)",NA,"0.929*** (0.603-1.242)","5.116*** (3.701-6.541)","0.674 (-0.977-2.391)",NA,NA,"-0.084 (-0.195-0.021)","-0.091 (-0.245-0.035)","-1.05 (-5.343--0.504)",NA,NA,"0.074 (-0.137-0.171)",612.752790269536,44.2873759362454,6
1063,"-2.923*** (-3.373--2.63)",NA,NA,"0.996*** (0.677-1.302)","5.907*** (4.542-7.274)","-0.289 (-1.851-1.348)",NA,NA,"-0.101 (-0.21-0.001)",NA,"-2.013 (-6.342--0.018)",NA,"-0.138 (-1.267-0.69)",NA,612.789172970721,44.3237586374297,4
1064,"-3.062*** (-3.566--2.691)",NA,NA,"0.937*** (0.607-1.253)","4.242*** (2.753-5.755)","1.462 (-0.283-3.256)","-0.223** (-0.374--0.079)","-0.261** (-0.461--0.069)",NA,NA,"-3.296 (-8.069--0.698)","0.071 (-0.043-0.191)",NA,"0.019 (-0.203-0.103)",612.796976947387,44.3315626140958,6
1065,"-2.798*** (-2.99--2.626)","-0.483*** (-0.708--0.269)","1.032*** (0.681-1.367)",NA,"5.012*** (3.613-6.416)","0.794 (-0.845-2.504)",NA,NA,"-0.088 (-0.199-0.017)","-0.118 (-0.283-0.013)",NA,NA,"-0.371 (-1.564-0.574)","0.057 (-0.18-0.162)",612.798317486525,44.3329031532344,6
1066,"-2.962*** (-3.437--2.64)",NA,"1.032*** (0.673-1.374)",NA,"4.534*** (3.042-6.054)","1.229 (-0.497-2.996)","-0.258*** (-0.405--0.117)",NA,"-0.245** (-0.41--0.089)","-0.107 (-0.269-0.023)","-2.558 (-7.11--0.378)","0.206* (0.041-0.376)",NA,NA,612.819189075351,44.3537747420597,6
1067,"-2.71*** (-2.884--2.554)",NA,"1.075*** (0.732-1.402)",NA,"5.789*** (4.47-7.102)","-0.28 (-1.797-1.317)",NA,NA,NA,NA,NA,NA,"-0.368 (-1.384-0.383)","0.019 (-0.201-0.108)",612.835724817893,44.3703104846019,3
1068,"-2.717*** (-2.899--2.555)",NA,"1.017*** (0.663-1.352)",NA,"4.615*** (3.141-6.111)","1.027 (-0.67-2.768)","-0.256*** (-0.406--0.114)",NA,"-0.109* (-0.219--0.006)","-0.085 (-0.25-0.045)",NA,NA,"-0.389 (-1.429-0.345)",NA,612.858500715933,44.3930863826422,5
1069,"-3.054*** (-3.552--2.68)",NA,"0.976*** (0.62-1.314)",NA,"4.211*** (2.711-5.737)","1.494 (-0.246-3.275)","-0.218** (-0.369--0.073)","-0.237* (-0.441--0.045)","-0.062 (-0.176-0.045)","-0.096 (-0.261-0.034)","-3.505 (-3.892--1.321)",NA,NA,NA,612.866548814861,44.40113448157,6
1070,"-2.711*** (-2.885--2.556)",NA,"1.077*** (0.733-1.405)",NA,"5.786*** (4.465-7.101)","-0.279 (-1.798-1.319)",NA,NA,NA,NA,NA,"0.003 (-0.103-0.113)","-0.334 (-1.341-0.369)",NA,612.898525920634,44.4331115873428,3
1071,"-2.986*** (-3.481--2.648)",NA,NA,"0.927*** (0.597-1.243)","4.463*** (2.954-5.993)","1.261 (-0.485-3.056)","-0.223** (-0.374--0.079)","-0.208* (-0.413--0.015)","-0.059 (-0.172-0.047)",NA,"-2.56 (-7.288--0.242)",NA,"-0.232 (-1.405-0.632)",NA,612.970910695333,44.5054963620416,6
1072,"-2.799*** (-2.998--2.623)","-0.309** (-0.539--0.098)","1.016*** (0.654-1.361)",NA,"4.584*** (3.095-6.097)","1.315 (-0.422-3.1)","-0.149 (-0.303--0.003)","-0.179 (-0.381-0.007)","-0.156 (-0.317--0.003)",NA,NA,"0.164 (0.003-0.333)","-0.441 (-1.629-0.445)",NA,612.97272801262,44.5073136793294,7
1073,"-2.783*** (-2.981--2.608)","-0.384*** (-0.611--0.171)","1.016*** (0.66-1.356)",NA,"4.479*** (3.043-5.938)","1.233 (-0.446-2.955)","-0.158* (-0.31--0.014)",NA,NA,NA,NA,"0.022 (-0.087-0.134)","-0.402 (-1.543-0.51)","0.061 (-0.153-0.159)",613.006807350256,44.541393016965,6
1074,"-2.744*** (-2.928--2.579)",NA,"1.024*** (0.663-1.367)",NA,"4.693*** (3.191-6.216)","1.126 (-0.615-2.919)","-0.22** (-0.37--0.079)","-0.204* (-0.405--0.016)","-0.192* (-0.354--0.04)",NA,NA,"0.192* (0.03-0.36)","-0.512 (-1.596-0.254)",NA,613.048141965844,44.5827276325529,6
1075,"-3.087*** (-3.572--2.71)",NA,"1.009*** (0.659-1.341)",NA,"5.154*** (3.722-6.58)","0.55 (-1.101-2.284)",NA,"-0.294** (-0.494--0.103)","-0.054 (-0.167-0.053)","-0.067 (-0.229-0.06)","-3.845 (-8.498--1.015)",NA,NA,NA,613.052658589302,44.5872442560111,5
1076,"-3.13*** (-3.625--2.731)",NA,"1.018*** (0.667-1.353)",NA,"4.977*** (3.561-6.387)","0.704 (-0.944-2.437)",NA,"-0.341*** (-0.538--0.153)",NA,"-0.055 (-0.215-0.072)","-4.293 (-9--1.042)","0.053 (-0.059-0.169)",NA,NA,613.140063871153,44.674649537862,5
1077,"-3.004*** (-3.492--2.669)",NA,NA,"0.928*** (0.598-1.244)","4.482*** (2.975-6.01)","1.234 (-0.508-3.027)","-0.222** (-0.374--0.078)","-0.204* (-0.41--0.011)","-0.058 (-0.171-0.048)",NA,"-2.709 (-7.384--0.422)",NA,NA,"0.012 (-0.216-0.099)",613.14318404736,44.6777697140685,6
1078,"-2.964*** (-3.44--2.716)","-0.328** (-0.571--0.1)","0.917*** (0.54-1.274)","0.883*** (0.54-1.212)","4.537*** (2.949-6.168)","1.465 (-0.406-3.376)","-0.185* (-0.343--0.035)",NA,"-0.232** (-0.401--0.071)","-0.129 (-0.301-0.008)","-0.827 (-5.33--0.435)","0.224* (0.051-0.405)","-0.165 (-1.474-0.857)","0.052 (-0.228-0.172)",613.212327370777,44.7469130374863,10
1079,"-2.796*** (-2.997--2.618)","-0.371** (-0.604--0.155)","0.997*** (0.639-1.338)",NA,"4.235*** (2.764-5.735)","1.579 (-0.142-3.34)","-0.149 (-0.304--0.002)","-0.175 (-0.377-0.009)","-0.063 (-0.177-0.044)","-0.131 (-0.297-0.002)",NA,NA,"-0.378 (-1.585-0.52)",NA,613.241565838144,44.776151504853,7
1080,"-3.106*** (-3.613--2.703)",NA,"0.989*** (0.631-1.33)",NA,"4.024*** (2.535-5.541)","1.657 (-0.085-3.442)","-0.213** (-0.363--0.069)","-0.29** (-0.489--0.099)",NA,"-0.081 (-0.245-0.048)","-4.05 (-8.856--1.051)","0.054 (-0.059-0.17)",NA,NA,613.262370384417,44.7969560511256,6
1081,"-2.706*** (-2.88--2.55)","-0.477*** (-0.688--0.278)",NA,NA,"5.091*** (3.846-6.336)","0.528 (-0.93-2.048)",NA,NA,NA,NA,NA,NA,NA,"0.062 (-0.115-0.14)",613.273506910807,44.8080925775158,2
1082,"-2.828*** (-3.028--2.651)","-0.397*** (-0.625--0.182)",NA,"0.953*** (0.624-1.268)","5.055*** (3.579-6.544)","0.925 (-0.808-2.73)",NA,"-0.192* (-0.392--0.007)","-0.194* (-0.362--0.036)","-0.101 (-0.256-0.026)",NA,"0.201* (0.033-0.378)","-0.443 (-1.673-0.475)",NA,613.351227063345,44.8858127300539,7
1083,"-3.029*** (-3.528--2.661)",NA,NA,"0.914*** (0.583-1.23)","4.169*** (2.668-5.702)","1.509 (-0.244-3.301)","-0.23** (-0.383--0.084)","-0.246* (-0.442--0.059)",NA,"-0.059 (-0.215-0.066)","-3.08 (-7.843--0.61)",NA,"-0.2 (-1.391-0.679)",NA,613.358851345451,44.8934370121599,6
1084,"-2.622*** (-2.783--2.478)",NA,NA,NA,"4.435*** (3.109-5.773)","1.029 (-0.504-2.603)","-0.276*** (-0.42--0.14)",NA,NA,NA,NA,NA,NA,NA,613.365083495679,44.8996691623876,1
1085,"-2.967*** (-3.466--2.666)","-0.328** (-0.564--0.107)",NA,"0.89*** (0.557-1.208)","4.122*** (2.643-5.635)","1.644 (-0.092-3.416)","-0.164* (-0.321--0.016)","-0.194* (-0.392--0.008)",NA,"-0.094 (-0.25-0.033)","-1.81 (-6.609--0.439)",NA,NA,"0.056 (-0.177-0.154)",613.406042299875,44.940627966584,7
1086,"-2.723*** (-2.895--2.568)",NA,"1.086*** (0.743-1.412)",NA,"5.8*** (4.467-7.125)","-0.306 (-1.829-1.3)",NA,NA,NA,"-0.028 (-0.188-0.097)",NA,NA,NA,"-0.004 (-0.225-0.079)",613.427445533003,44.9620311997122,3
1087,"-2.723*** (-2.895--2.568)",NA,"1.086*** (0.743-1.413)",NA,"5.801*** (4.469-7.125)","-0.307 (-1.83-1.298)",NA,NA,NA,"-0.028 (-0.188-0.097)",NA,"0.002 (-0.105-0.111)",NA,NA,613.429649210652,44.9642348773614,3
1088,"-2.809*** (-3.004--2.635)","-0.426*** (-0.653--0.212)","1.041*** (0.682-1.382)",NA,"4.849*** (3.399-6.307)","1.102 (-0.605-2.882)",NA,"-0.206* (-0.405--0.021)","-0.167* (-0.334--0.011)","-0.126 (-0.29-0.005)",NA,"0.162 (-0.001-0.333)","-0.428 (-1.674-0.498)",NA,613.434644800355,44.9692304670638,7
1089,"-3.044*** (-3.52--2.696)",NA,NA,"0.927*** (0.602-1.239)","5.337*** (3.89-6.784)","0.368 (-1.297-2.113)",NA,"-0.268** (-0.47--0.077)","-0.059 (-0.173-0.048)","-0.04 (-0.193-0.083)","-3.216 (-7.807--0.55)",NA,NA,NA,613.438556883707,44.973142550416,5
1090,"-3.092*** (-3.581--2.717)",NA,NA,"0.931*** (0.606-1.242)","5.147*** (3.715-6.579)","0.537 (-1.127-2.282)",NA,"-0.322** (-0.519--0.132)",NA,"-0.027 (-0.179-0.095)","-3.682 (-8.36--0.951)","0.063 (-0.051-0.181)",NA,NA,613.439104511739,44.9736901784478,5
1091,"-3.075*** (-3.569--2.696)",NA,NA,"0.934*** (0.61-1.245)","5.187*** (3.777-6.595)","0.505 (-1.141-2.233)",NA,"-0.322** (-0.519--0.132)",NA,NA,"-3.516 (-8.216--0.637)","0.064 (-0.05-0.182)","-0.204 (-1.397-0.664)",NA,613.445776885747,44.9803625524559,5
1092,"-3.043*** (-3.537--2.681)",NA,NA,"0.914*** (0.584-1.231)","4.187*** (2.686-5.719)","1.486 (-0.265-3.276)","-0.229** (-0.382--0.084)","-0.242* (-0.439--0.055)",NA,"-0.059 (-0.215-0.066)","-3.202 (-7.913--0.684)",NA,NA,"0.011 (-0.22-0.098)",613.476995903134,45.011581569843,6
1093,"-2.878*** (-3.329--2.647)","-0.437*** (-0.665--0.219)",NA,"0.936*** (0.61-1.248)","5.133*** (3.718-6.559)","0.657 (-0.995-2.377)",NA,NA,"-0.087 (-0.198-0.017)","-0.092 (-0.247-0.034)","-0.793 (-5.09--0.471)",NA,"-0.141 (-1.414-0.807)",NA,613.500476595694,45.0350622624026,6
1094,"-3.089*** (-3.578--2.717)",NA,NA,"0.934*** (0.61-1.245)","5.206*** (3.798-6.612)","0.481 (-1.162-2.206)",NA,"-0.317** (-0.515--0.127)",NA,NA,"-3.635 (-8.292--0.801)","0.065 (-0.049-0.183)",NA,"0.022 (-0.209-0.109)",613.508263583058,45.0428492497671,5
1095,"-2.694*** (-2.875--2.534)","-0.41*** (-0.635--0.201)",NA,NA,"4.149*** (2.815-5.505)","1.444 (-0.104-3.025)","-0.19* (-0.34--0.05)",NA,NA,"-0.102 (-0.25-0.018)",NA,NA,NA,NA,613.516741081605,45.0513267483142,3
1096,"-2.748*** (-2.92--2.593)",NA,"1.096*** (0.747-1.427)",NA,"6.169*** (4.815-7.521)","-0.483 (-2.024-1.141)",NA,NA,"-0.225** (-0.384--0.074)",NA,NA,"0.178* (0.018-0.344)",NA,"-0.009 (-0.247-0.079)",613.556448473208,45.0910341399167,4
1097,"-2.723*** (-2.896--2.569)",NA,"1.084*** (0.74-1.411)",NA,"5.843*** (4.527-7.152)","-0.347 (-1.857-1.244)",NA,NA,NA,NA,NA,"0.003 (-0.103-0.112)",NA,"-0.002 (-0.221-0.08)",613.58886358033,45.1234492470392,3
1098,"-2.702*** (-2.877--2.545)","-0.472*** (-0.685--0.271)",NA,NA,"5.062*** (3.815-6.309)","0.566 (-0.897-2.092)",NA,NA,NA,NA,NA,NA,"-0.333 (-1.493-0.514)",NA,613.608782475147,45.1433681418564,2
1099,"-3.025*** (-3.506--2.675)",NA,NA,"0.931*** (0.606-1.242)","5.394*** (3.963-6.825)","0.317 (-1.335-2.048)",NA,"-0.269** (-0.47--0.077)","-0.055 (-0.167-0.051)",NA,"-3.016 (-7.638--0.635)",NA,"-0.213 (-1.393-0.642)",NA,613.627704980876,45.1622906475845,5
1100,"-2.733*** (-2.921--2.566)",NA,NA,"1.008*** (0.683-1.32)","4.461*** (2.976-5.973)","1.133 (-0.589-2.895)","-0.271*** (-0.421--0.128)",NA,NA,"-0.037 (-0.192-0.088)",NA,"0.03 (-0.081-0.144)","-0.378 (-1.406-0.358)",NA,613.63795957518,45.1725452418892,5
1101,"-2.73*** (-2.911--2.57)",NA,"1.025*** (0.672-1.36)",NA,"4.676*** (3.207-6.166)","0.952 (-0.736-2.685)","-0.256*** (-0.405--0.114)",NA,"-0.109* (-0.219--0.006)","-0.086 (-0.251-0.044)",NA,NA,NA,"-0.019 (-0.258-0.069)",613.659631860803,45.1942175275124,5
1102,"-3.111*** (-3.609--2.709)",NA,"1.013*** (0.662-1.348)",NA,"5.068*** (3.676-6.457)","0.619 (-1.012-2.332)",NA,"-0.339*** (-0.535--0.15)",NA,NA,"-4.086 (-8.808--1.829)","0.056 (-0.056-0.172)","-0.172 (-1.385-0.696)",NA,613.67568044553,45.2102661122394,5
1103,"-2.994*** (-3.458--2.697)",NA,"0.952*** (0.595-1.292)","0.907*** (0.576-1.224)","5.898*** (4.413-7.381)","-0.2 (-1.895-1.587)",NA,NA,"-0.099 (-0.211-0.007)","-0.051 (-0.22-0.083)","-1.864 (-6.301--0.285)",NA,"-0.08 (-1.241-0.793)","0.019 (-0.247-0.123)",613.694411291896,45.2289969586053,7
1104,"-2.807*** (-3.004--2.632)","-0.314** (-0.543--0.104)","1.019*** (0.656-1.363)",NA,"4.64*** (3.157-6.147)","1.239 (-0.488-3.015)","-0.147 (-0.302--0.001)","-0.169 (-0.372-0.015)","-0.153 (-0.313--0.001)",NA,NA,"0.16 (0-0.327)",NA,"0.016 (-0.239-0.117)",613.697936939755,45.2325226064635,7
1105,"-2.805*** (-3--2.632)","-0.449*** (-0.675--0.235)",NA,"0.938*** (0.612-1.249)","5.166*** (3.752-6.589)","0.635 (-1.016-2.355)",NA,NA,"-0.087 (-0.197-0.018)","-0.088 (-0.243-0.038)",NA,NA,"-0.384 (-1.554-0.539)","0.061 (-0.163-0.162)",613.711407224202,45.2459928909109,6
1106,"-3.121*** (-3.614--2.726)",NA,"1.015*** (0.663-1.349)",NA,"5.084*** (3.693-6.47)","0.599 (-1.028-2.308)",NA,"-0.335*** (-0.531--0.146)",NA,NA,"-4.172 (-8.863--0.861)","0.056 (-0.056-0.172)",NA,"0.017 (-0.228-0.107)",613.726501775503,45.2610874422123,5
1107,"-2.804*** (-3.008--2.624)","-0.333** (-0.565--0.118)",NA,"0.91*** (0.578-1.227)","4.318*** (2.832-5.837)","1.49 (-0.246-3.265)","-0.171* (-0.328--0.022)","-0.156 (-0.358-0.022)","-0.066 (-0.18-0.042)","-0.102 (-0.26-0.026)",NA,NA,"-0.38 (-1.565-0.502)",NA,613.739533651959,45.274119318668,7
1108,"-2.95*** (-3.455--2.651)","-0.323** (-0.559--0.1)",NA,"0.893*** (0.561-1.212)","4.111*** (2.63-5.624)","1.658 (-0.08-3.433)","-0.165* (-0.322--0.017)","-0.202* (-0.4--0.017)",NA,"-0.095 (-0.251-0.032)","-1.623 (-6.475--0.342)",NA,"-0.176 (-1.464-0.788)",NA,613.743775308689,45.2783609753975,7
1109,"-2.979*** (-3.464--2.63)",NA,"1.011*** (0.659-1.346)",NA,"4.284*** (2.825-5.769)","1.272 (-0.419-3.002)","-0.251*** (-0.399--0.11)",NA,NA,"-0.071 (-0.234-0.057)","-3 (-7.628--0.601)",NA,NA,"0.026 (-0.171-0.106)",613.7474627989,45.2820484656085,5
1110,"-2.803*** (-3.003--2.626)","-0.375*** (-0.607--0.16)","1*** (0.642-1.341)",NA,"4.285*** (2.82-5.779)","1.514 (-0.197-3.264)","-0.148 (-0.304--0.002)","-0.167 (-0.371-0.015)","-0.063 (-0.177-0.044)","-0.132 (-0.297-0.001)",NA,NA,NA,"0.01 (-0.253-0.116)",613.751629344188,45.2862150108972,7
1111,"-3.04*** (-3.516--2.695)",NA,NA,"0.932*** (0.607-1.243)","5.411*** (3.981-6.84)","0.293 (-1.354-2.022)",NA,"-0.265** (-0.467--0.073)","-0.054 (-0.166-0.052)",NA,"-3.14 (-7.719--0.584)",NA,NA,"0.015 (-0.223-0.104)",613.757664570973,45.292250237682,5
