"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1618,"-2.969*** (-3.424--2.655)",NA,"1.075*** (0.726-1.408)",NA,"5.82*** (4.43-7.206)","-0.109 (-1.694-1.56)",NA,NA,"-0.236** (-0.401--0.08)","-0.076 (-0.236-0.052)","-2.623 (-7.009--0.474)","0.189* (0.026-0.358)",NA,"0.03 (-0.191-0.114)",626.034426377891,57.5690120446001,6
1619,"-2.971*** (-3.465--2.625)","-0.422*** (-0.647--0.211)",NA,NA,"4.456*** (3.142-5.773)","1.279 (-0.271-2.89)",NA,"-0.269** (-0.463--0.088)",NA,"-0.099 (-0.246-0.021)","-2.881 (-7.626--0.454)",NA,NA,"0.071 (-0.136-0.168)",626.03596968134,57.5705553480494,5
1620,"-2.655*** (-2.816--2.51)",NA,NA,NA,"5.414*** (4.155-6.662)","0.133 (-1.324-1.667)",NA,"-0.313*** (-0.504--0.133)",NA,NA,NA,NA,NA,"-0.032 (-0.271-0.063)",626.071603534785,57.606189201494,2
1621,"-2.701*** (-2.885--2.538)","-0.323** (-0.545--0.12)",NA,NA,"4.372*** (2.998-5.76)","1.349 (-0.239-2.983)","-0.16* (-0.313--0.017)","-0.199* (-0.399--0.015)","-0.051 (-0.162-0.052)",NA,NA,NA,"-0.462 (-1.617-0.386)",NA,626.095922726888,57.6305083935971,5
1622,"-2.944*** (-3.436--2.619)","-0.359*** (-0.58--0.151)",NA,NA,"4.935*** (3.596-6.28)","0.886 (-0.672-2.507)",NA,"-0.26** (-0.46--0.072)","-0.126 (-0.282-0.021)",NA,"-2.447 (-7.171--0.153)","0.136 (-0.019-0.298)",NA,NA,626.099188378358,57.633774045067,5
1623,"-2.655*** (-2.816--2.509)",NA,NA,NA,"5.404*** (4.137-6.663)","0.137 (-1.325-1.674)",NA,"-0.308*** (-0.496--0.13)",NA,"-0.021 (-0.165-0.094)",NA,NA,NA,NA,626.167755450711,57.70234111742,2
1624,"-2.958*** (-3.419--2.638)",NA,"1.076*** (0.727-1.409)",NA,"5.819*** (4.429-7.207)","-0.106 (-1.693-1.565)",NA,NA,"-0.238** (-0.404--0.082)","-0.077 (-0.237-0.05)","-2.508 (-6.929--0.368)","0.189* (0.026-0.358)","-0.106 (-1.303-0.757)",NA,626.181533931303,57.7161195980115,6
1625,"-2.922*** (-3.42--2.635)","-0.404*** (-0.639--0.183)","1.013*** (0.655-1.354)",NA,"4.156*** (2.707-5.635)","1.553 (-0.143-3.284)","-0.167* (-0.32--0.023)",NA,NA,"-0.113 (-0.278-0.018)","-1.524 (-6.276--0.287)","0.017 (-0.093-0.13)","-0.16 (-1.436-0.852)","0.078 (-0.131-0.187)",626.204399461545,57.7389851282536,8
1626,"-2.896*** (-3.359--2.575)",NA,NA,NA,"4.616*** (3.24-6.012)","1.042 (-0.533-2.656)","-0.27*** (-0.413--0.134)",NA,"-0.216** (-0.372--0.068)",NA,"-2.767 (-7.218--0.587)","0.173* (0.016-0.336)",NA,NA,626.212059897843,57.7466455645518,4
1627,"-2.841*** (-3.311--2.574)","-0.313** (-0.541--0.1)",NA,NA,"4.594*** (3.225-5.984)","1.143 (-0.429-2.753)","-0.196** (-0.345--0.055)",NA,"-0.18* (-0.336--0.032)",NA,"-1.504 (-6.019--0.369)","0.149 (-0.007-0.312)",NA,NA,626.222562257505,57.7571479242139,5
1628,"-2.797*** (-2.996--2.62)","-0.353** (-0.588--0.136)","1.019*** (0.655-1.365)",NA,"4.301*** (2.814-5.818)","1.622 (-0.123-3.408)","-0.16* (-0.315--0.014)","-0.17 (-0.373-0.013)","-0.184* (-0.351--0.026)","-0.136 (-0.301--0.004)",NA,"0.177* (0.012-0.35)","-0.477 (-1.693-0.491)","0.029 (-0.245-0.146)",626.245453860855,57.7800395275636,9
