"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","weights","model_id","Nparam"
"1156","X"," ","X","X"," "," "," "," ","X"," ","X",614.542291911307,46.0768775780155,6.84258537965196e-11,665,5
"1157"," "," ","X","X","X","X"," "," ","X"," ","X",614.545311139167,46.0798968058756,6.83226351042418e-11,1410,6
"1158"," "," ","X"," "," ","X","X","X"," ","X"," ",614.576984457584,46.1115701242927,6.72491554174601e-11,954,5
"1159"," ","X"," ","X"," ","X"," "," "," "," "," ",614.587241373641,46.1218270403496,6.69051537993524e-11,121,3
"1160","X"," ","X","X","X","X"," "," ","X"," "," ",614.626359552575,46.160945219284,6.56092644308919e-11,1152,6
"1161","X","X","X"," "," "," ","X"," ","X"," ","X",614.631121439075,46.1657071057838,6.54532383139888e-11,1074,6
"1162","X","X"," ","X","X","X"," ","X","X"," "," ",614.638132036414,46.1727177031227,6.52242068112386e-11,1560,7
"1163"," "," ","X"," "," "," ","X"," ","X"," ","X",614.662626833842,46.1972125005509,6.44302518106672e-11,486,4
"1164","X"," ","X"," ","X","X"," "," ","X"," "," ",614.681878485428,46.2164641521365,6.38130328179746e-11,669,5
"1165"," "," ","X","X","X"," ","X"," ","X"," ","X",614.69800744335,46.2325931100585,6.33004834569823e-11,1416,6
"1166","X","X","X","X","X","X"," "," ","X"," "," ",614.713863453212,46.2484491199208,6.280062098622e-11,1488,7
"1167","X"," ","X"," ","X"," "," "," ","X"," ","X",614.729363471692,46.2639491384007,6.23157967162385e-11,680,5
"1168","X","X"," ","X"," "," "," "," "," "," "," ",614.730092233798,46.2646779005066,6.22930941570565e-11,68,3
"1169","X","X","X","X","X"," ","X"," "," ","X"," ",614.740251070087,46.2748367367955,6.19774837215844e-11,1493,7
"1170","X","X"," ","X","X","X"," ","X"," ","X"," ",614.772196402772,46.3067820694807,6.0995402163331e-11,1561,7
"1171","X"," ","X","X","X"," ","X"," ","X"," "," ",614.836125045088,46.3707107117971,5.90765562172578e-11,1156,6
"1172","X"," ","X"," ","X","X"," ","X","X","X","X",614.867219679767,46.4018053464755,5.81651773566851e-11,1925,8
"1173"," "," ","X"," ","X","X"," "," ","X"," ","X",614.874845646623,46.4094313133324,5.79438167895906e-11,941,5
"1174"," "," "," ","X","X"," ","X","X"," ","X","X",614.889141028195,46.4237266949043,5.75311289437779e-11,1470,6
"1175"," "," "," "," "," "," ","X","X"," ","X","X",614.891288579689,46.4258742463976,5.74693865675063e-11,559,4
"1176","X","X","X"," ","X","X","X"," ","X"," "," ",614.892582121201,46.4271677879102,5.74322290663795e-11,1522,7
"1177"," ","X","X"," "," ","X"," ","X","X"," ","X",614.939275623401,46.4738612901099,5.61069043218299e-11,1338,6
"1178","X","X","X"," "," ","X"," ","X"," ","X"," ",614.96180082666,46.4963864933684,5.5478539761785e-11,1065,6
"1179","X"," ","X"," "," ","X","X"," "," ","X"," ",614.968329023529,46.5029146902378,5.52977475692624e-11,684,5
"1180","X","X","X","X"," ","X","X"," ","X"," "," ",614.982170298154,46.5167559648627,5.49163731134529e-11,1502,7
"1181","X"," "," "," "," "," ","X"," "," ","X","X",614.984425042785,46.519010709494,5.48544968001045e-11,347,4
"1182","X","X"," ","X","X"," "," ","X"," ","X","X",614.988180829756,46.5227664964647,5.47515825591561e-11,1574,7
"1183","X"," "," ","X"," ","X","X"," ","X"," "," ",615.01945762791,46.5540432946187,5.39020157077973e-11,718,5
"1184"," ","X","X","X","X"," ","X"," "," ","X","X",615.034381396607,46.5689670633155,5.35013019994148e-11,1711,7
"1185","X","X","X"," ","X"," ","X","X","X"," "," ",615.039773216298,46.5743588830065,5.33572615598667e-11,1531,7
"1186","X","X","X"," "," "," "," ","X"," ","X","X",615.065012446965,46.5995981136741,5.26881443247583e-11,1078,6
"1187","X","X","X"," ","X"," ","X","X"," ","X"," ",615.104693878329,46.6392795450381,5.16530760358891e-11,1532,7
"1188"," ","X","X","X","X","X"," "," ","X"," ","X",615.131890817335,46.6664764840443,5.0955427483591e-11,1704,7
"1189"," "," ","X"," "," ","X","X"," "," ","X","X",615.149367756373,46.6839534230824,5.0512094879024e-11,958,5
"1190","X"," ","X"," ","X","X","X"," ","X"," "," ",615.162035554538,46.6966212212473,5.01931674608918e-11,1186,6
"1191","X","X","X","X","X"," "," "," "," ","X","X",615.177747855285,46.7123335219942,4.98003872798491e-11,1500,7
"1192","X","X","X","X"," "," ","X","X","X"," "," ",615.185437309237,46.7200229759464,4.96092859890005e-11,1511,7
"1193","X","X","X","X","X"," ","X"," ","X"," "," ",615.187302939075,46.7218886057844,4.95630312838027e-11,1492,7
"1194"," "," ","X"," ","X","X","X"," ","X"," ","X",615.208967941033,46.7435536077423,4.90290371664996e-11,1441,6
"1195"," "," "," ","X","X","X","X","X"," ","X","X",615.230477808598,46.7650634753069,4.85045585402793e-11,1810,7
"1196"," ","X","X","X"," ","X","X"," ","X"," ","X",615.340433450701,46.8750191174096,4.59098624876056e-11,1720,7
"1197","X","X","X","X"," ","X"," ","X","X"," "," ",615.342761450295,46.8773471170044,4.58564545064399e-11,1505,7
"1198","X","X"," ","X"," ","X","X"," "," ","X","X",615.398479138667,46.9330648053758,4.45965775267575e-11,1581,7
"1199","X","X","X","X","X"," "," "," ","X"," ","X",615.448806471007,46.9833921377162,4.34883659475982e-11,1499,7
"1200"," "," ","X","X"," ","X","X","X"," ","X"," ",615.461269304388,46.9958549710973,4.32182144057792e-11,1423,6
"1201","X","X"," "," "," ","X"," ","X","X"," ","X",615.474813584625,47.0093992513335,4.29265234031291e-11,1142,6
"1202","X"," ","X","X","X"," "," "," ","X"," ","X",615.482240807985,47.0168264746937,4.27674065963132e-11,1163,6
"1203"," ","X","X","X","X"," ","X"," ","X"," ","X",615.51474407632,47.049329743029,4.20779836486573e-11,1710,7
"1204"," ","X","X","X"," "," ","X","X","X"," ","X",615.521782753848,47.0563684205572,4.19301572478579e-11,1727,7
"1205"," "," "," "," ","X","X","X","X","X"," ","X",615.522674978798,47.0572606455074,4.19114558533989e-11,1480,6
