"ID","(Intercept)","bordering_language_evenness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_richness","bordering_language_richness_perkm","altitude_range","area","L1_pop","roughness","vehicularity","islands11km","BIC","delta","Nparam"
1699,"-2.607*** (-2.764--2.464)","-0.197** (-0.331--0.07)",NA,NA,"5.409*** (4.401-6.441)","-0.158 (-1.292-0.987)","-0.262** (-0.438--0.098)",NA,"-0.098 (-0.23-0.028)","0.067* (-0.028-0.127)",NA,"0.041 (-0.091-0.177)",NA,NA,836.99710351172,66.8249852036492,5
1700,"-2.629*** (-2.815--2.471)","-0.242*** (-0.377--0.115)",NA,NA,"5.042*** (4.008-6.1)","0.178 (-1.002-1.368)",NA,"-0.267** (-0.453--0.091)","-0.054 (-0.146-0.034)",NA,"-0.524 (-1.808-0.013)",NA,NA,"-0.057 (-0.181-0.049)",837.040865399546,66.868747091475,5
1701,"-2.62*** (-2.782--2.473)","-0.181** (-0.319--0.051)",NA,NA,"5.025*** (4.003-6.075)","0.262 (-0.906-1.44)","-0.268** (-0.447--0.104)","-0.223* (-0.409--0.05)","-0.05 (-0.143-0.038)","0.053 (-0.054-0.117)",NA,NA,NA,"-0.086 (-0.211-0.022)",837.074703749779,66.9025854417076,6
1702,"-2.632*** (-2.789--2.488)",NA,NA,NA,"5.782*** (4.818-6.764)","-0.453 (-1.557-0.675)","-0.317*** (-0.487--0.158)","-0.26** (-0.443--0.087)","-0.051 (-0.182-0.074)","0.063 (-0.043-0.126)",NA,"0.032 (-0.099-0.168)",NA,NA,837.153317542897,66.9811992348265,5
1703,"-2.623*** (-2.782--2.477)",NA,NA,NA,"5.668*** (4.727-6.623)","-0.364 (-1.459-0.757)","-0.316*** (-0.486--0.156)","-0.277** (-0.459--0.105)",NA,"0.076 (-0.031-0.146)",NA,"-0.006 (-0.097-0.087)","-0.291 (-1.157-0.377)",NA,837.160349843407,66.9882315353364,5
1704,"-2.593*** (-2.751--2.449)","-0.212** (-0.348--0.085)",NA,NA,"5.159*** (4.148-6.196)","0.07 (-1.081-1.227)","-0.26** (-0.439--0.093)",NA,"-0.086 (-0.177-0)",NA,NA,NA,"-0.041 (-0.848-0.572)","-0.086 (-0.21-0.022)",837.162590649319,66.9904723412482,5
1705,"-2.673*** (-2.867--2.512)","-0.251*** (-0.384--0.123)","1.006*** (0.681-1.318)",NA,"5.57*** (4.478-6.694)","-0.341 (-1.571-0.896)",NA,NA,"-0.145* (-0.284--0.012)","0.041 (-0.07-0.11)","-0.256 (-1.545-0.048)","0.08 (-0.059-0.221)","-0.161 (-1.049-0.537)","-0.056 (-0.188-0.055)",837.192115029605,67.0199967215339,8
1706,"-2.623*** (-2.779--2.48)",NA,NA,NA,"5.652*** (4.673-6.651)","-0.32 (-1.445-0.826)","-0.317*** (-0.488--0.157)","-0.275** (-0.458--0.104)","-0.067 (-0.202-0.061)",NA,NA,"0.038 (-0.095-0.175)",NA,"-0.071 (-0.195-0.035)",837.20541094707,67.033292638999,5
1707,"-2.597*** (-2.745--2.46)",NA,NA,NA,"6.103*** (5.16-7.06)","-0.891 (-1.97-0.215)",NA,"-0.307*** (-0.49--0.135)","-0.039 (-0.13-0.047)",NA,NA,NA,NA,"-0.01 (-0.131-0.092)",837.261167919597,67.0890496115259,3
1708,"-2.598*** (-2.746--2.461)",NA,NA,NA,"6.12*** (5.188-7.064)","-0.908 (-1.977-0.189)",NA,"-0.306*** (-0.49--0.133)","-0.038 (-0.128-0.047)","0.004 (-0.123-0.069)",NA,NA,NA,NA,837.288945533846,67.1168272257746,3
1709,"-2.605*** (-2.78--2.458)","-0.199** (-0.333--0.071)",NA,NA,"5.099*** (4.086-6.139)","0.085 (-1.065-1.24)","-0.299*** (-0.481--0.128)",NA,NA,"0.08* (-0.009-0.144)","-0.138 (-1.288-0.039)",NA,NA,"-0.068 (-0.191-0.038)",837.321445024252,67.149326716181,5
1710,"-2.729*** (-2.919--2.567)",NA,NA,"0.895*** (0.597-1.182)","5.953*** (4.9-7.033)","-0.573 (-1.778-0.65)","-0.293** (-0.474--0.119)","-0.226* (-0.413--0.051)","-0.084 (-0.223-0.048)","0.073 (-0.04-0.146)","-0.115 (-1.261-0.052)","0.065 (-0.074-0.207)","-0.091 (-0.994-0.611)","-0.053 (-0.182-0.058)",837.346064699588,67.1739463915173,9
1711,"-2.631*** (-2.816--2.475)","-0.231*** (-0.362--0.105)",NA,NA,"5.239*** (4.212-6.287)","0.006 (-1.156-1.184)",NA,"-0.265** (-0.451--0.089)","-0.086 (-0.218-0.041)",NA,"-0.488 (-1.758--0.018)","0.057 (-0.075-0.193)",NA,NA,837.375637548364,67.2035192402926,5
1712,"-2.619*** (-2.777--2.474)",NA,NA,NA,"5.598*** (4.633-6.581)","-0.281 (-1.4-0.86)","-0.316*** (-0.489--0.152)","-0.278** (-0.461--0.105)","-0.04 (-0.132-0.047)",NA,NA,NA,"-0.105 (-0.918-0.507)","-0.069 (-0.192-0.038)",837.424486811789,67.2523685037179,5
1713,"-2.64*** (-2.83--2.479)","-0.23*** (-0.362--0.105)",NA,NA,"5.168*** (4.155-6.201)","0.052 (-1.104-1.224)",NA,"-0.261** (-0.447--0.085)","-0.044 (-0.135-0.042)","0.033 (-0.073-0.095)","-0.613 (-1.953-0.007)",NA,NA,NA,837.498621059441,67.3265027513703,5
1714,"-2.629*** (-2.797--2.483)",NA,NA,NA,"5.538*** (4.576-6.518)","-0.246 (-1.364-0.893)","-0.314*** (-0.487--0.147)","-0.297*** (-0.479--0.125)",NA,NA,"-0.109 (-1.18-0.056)","-0.011 (-0.102-0.082)",NA,"-0.064 (-0.186-0.041)",837.551247645205,67.3791293371339,5
1715,"-2.606*** (-2.76--2.466)",NA,NA,NA,"6*** (5.08-6.938)","-0.74 (-1.799-0.34)","-0.356*** (-0.527--0.193)",NA,"-0.065 (-0.153-0.02)","0.089* (-0.008-0.157)",NA,NA,"-0.214 (-1.081-0.455)",NA,837.562362085039,67.3902437769676,4
1716,"-2.629*** (-2.803--2.481)",NA,NA,NA,"5.543*** (4.582-6.522)","-0.251 (-1.368-0.887)","-0.313*** (-0.488--0.146)","-0.301*** (-0.48--0.132)",NA,NA,"-0.107 (-1.228-0.064)",NA,"-0.012 (-0.849-0.638)","-0.062 (-0.185-0.043)",837.603986971555,67.4318686634839,5
1717,"-2.598*** (-2.756--2.455)","-0.199** (-0.334--0.071)",NA,NA,"5.098*** (4.087-6.137)","0.085 (-1.065-1.241)","-0.301*** (-0.48--0.133)",NA,NA,"0.069* (-0.024-0.129)",NA,"-0.042 (-0.131-0.048)",NA,"-0.072 (-0.196-0.034)",837.607214303105,67.4350959950337,5
1718,"-2.621*** (-2.795--2.473)","-0.186** (-0.324--0.056)",NA,NA,"4.988*** (3.963-6.039)","0.294 (-0.877-1.474)","-0.238** (-0.415--0.07)","-0.242** (-0.428--0.068)","-0.051 (-0.144-0.037)",NA,"-0.116 (-1.219-0.053)",NA,NA,"-0.088 (-0.213-0.02)",837.617560618356,67.4454423102854,6
1719,"-2.601*** (-2.782--2.449)","-0.265*** (-0.395--0.142)",NA,NA,"5.334*** (4.335-6.353)","-0.175 (-1.309-0.972)",NA,NA,"-0.082 (-0.171-0.002)","0.04 (-0.057-0.1)","-0.461 (-1.756--0.023)",NA,NA,NA,837.680294072469,67.5081757643981,4
1720,"-2.613*** (-2.777--2.464)","-0.175* (-0.312--0.046)",NA,NA,"4.969*** (3.945-6.021)","0.295 (-0.877-1.475)","-0.264** (-0.443--0.097)","-0.254** (-0.435--0.085)",NA,"0.067 (-0.041-0.138)",NA,NA,"-0.29 (-1.166-0.391)","-0.073 (-0.197-0.034)",837.692444014644,67.5203257065733,6
1721,"-2.614*** (-2.766--2.475)",NA,NA,NA,"6.055*** (5.116-7.014)","-0.788 (-1.856-0.3)","-0.357*** (-0.528--0.195)",NA,"-0.084 (-0.215-0.042)","0.08* (-0.014-0.139)",NA,"0.028 (-0.104-0.163)",NA,NA,837.716547676554,67.5444293684827,4
1722,"-2.586*** (-2.762--2.439)","-0.276*** (-0.408--0.151)",NA,NA,"5.223*** (4.204-6.267)","-0.066 (-1.223-1.099)",NA,NA,"-0.093* (-0.183--0.007)",NA,"-0.339 (-1.563--0.005)",NA,NA,"-0.053 (-0.175-0.052)",837.717406576168,67.5452882680971,4
1723,"-2.617*** (-2.809--2.457)","-0.231*** (-0.363--0.106)",NA,NA,"5.16*** (4.146-6.193)","0.065 (-1.092-1.239)",NA,"-0.267** (-0.453--0.091)","-0.046 (-0.138-0.04)",NA,"-0.388 (-1.722-0)",NA,"-0.198 (-1.033-0.446)",NA,837.780232884033,67.6081145759621,5
1724,"-2.617*** (-2.777--2.471)","-0.187** (-0.325--0.057)",NA,NA,"5.067*** (4.034-6.128)","0.235 (-0.939-1.416)","-0.241** (-0.416--0.081)","-0.236** (-0.42--0.063)","-0.087 (-0.223-0.043)",NA,NA,"0.049 (-0.085-0.188)",NA,"-0.089 (-0.215-0.019)",837.83976539044,67.6676470823692,6
1725,"-2.64*** (-2.831--2.478)","-0.235*** (-0.368--0.107)",NA,NA,"5.004*** (3.971-6.063)","0.184 (-0.996-1.374)",NA,"-0.291** (-0.471--0.121)",NA,"0.033 (-0.072-0.095)","-0.661 (-2.005--0.02)",NA,NA,"-0.044 (-0.167-0.06)",837.849276867898,67.677158559827,5
1726,"-2.59*** (-2.765--2.444)","-0.267*** (-0.396--0.144)",NA,NA,"5.41*** (4.398-6.445)","-0.228 (-1.367-0.924)",NA,NA,"-0.126 (-0.257-0.001)",NA,"-0.311 (-1.518-0.006)","0.057 (-0.075-0.193)",NA,NA,837.911672295874,67.7395539878027,4
1727,"-2.624*** (-2.82--2.46)","-0.227*** (-0.359--0.102)",NA,NA,"5.091*** (4.083-6.12)","0.108 (-1.048-1.28)",NA,"-0.288** (-0.468--0.118)",NA,"0.043 (-0.063-0.111)","-0.52 (-1.889--0.003)",NA,"-0.275 (-1.15-0.404)",NA,837.942653358516,67.7705350504451,5
1728,"-2.598*** (-2.747--2.461)",NA,NA,NA,"6.065*** (5.142-7)","-0.877 (-1.942-0.216)",NA,"-0.325*** (-0.506--0.153)",NA,"0.005 (-0.121-0.069)",NA,"-0.003 (-0.094-0.088)",NA,NA,838.022823290644,67.8507049825733,3
1729,"-2.598*** (-2.747--2.461)",NA,NA,NA,"6.062*** (5.122-7.016)","-0.874 (-1.953-0.232)",NA,"-0.327*** (-0.505--0.158)",NA,"0.005 (-0.122-0.069)",NA,NA,NA,"-0.002 (-0.122-0.099)",838.02669235433,67.854574046259,3
1730,"-2.598*** (-2.747--2.461)",NA,NA,NA,"6.057*** (5.12-7.009)","-0.869 (-1.947-0.234)",NA,"-0.327*** (-0.507--0.156)",NA,NA,NA,"-0.004 (-0.094-0.088)",NA,"-0.003 (-0.122-0.098)",838.030942361983,67.8588240539119,3
